Year,Estimated Value
1982-01-03,95936.0
1982-01-10,95793.83085264672
1982-01-17,95659.54921677329
1982-01-24,95533.09328982628
1982-01-31,95414.46307180576
1982-02-07,95303.65856271167
1982-02-14,95200.67976254404
1982-02-21,95105.52667130285
1982-02-28,95018.19928898812
1982-03-07,94938.69761559984
1982-03-14,94867.021651138
1982-03-21,94803.17139560264
1982-03-28,94747.14684899371
1982-04-04,94698.94801131121
1982-04-11,94658.57488255519
1982-04-18,94626.02746272561
1982-04-25,94601.30575182248
1982-05-02,94584.4097498458
1982-05-09,94575.33945679557
1982-05-16,94574.0948726718
1982-05-23,94580.67599747448
1982-05-30,94595.08283120359
1982-06-06,94617.31537385918
1982-06-13,94647.37362544119
1982-06-20,94685.25758594966
1982-06-27,94730.96725538459
1982-07-04,94784.50263374597
1982-07-11,94845.8637210338
1982-07-18,94915.05051724806
1982-07-25,94992.06302238881
1982-08-01,95076.90123645596
1982-08-08,95169.5651594496
1982-08-15,95270.05479136968
1982-08-22,95378.3701322162
1982-08-29,95494.51118198919
1982-09-05,95618.4779406886
1982-09-12,95750.27040831448
1982-09-19,95889.88858486683
1982-09-26,96037.3324703456
1982-10-03,96192.60206475083
1982-10-10,96355.69736808252
1982-10-17,96526.61838034065
1982-10-24,96705.36510152521
1982-10-31,96891.93753163624
1982-11-07,97086.33567067372
1982-11-14,97288.55951863766
1982-11-21,97498.60907552805
1982-11-28,97716.48434134487
1982-12-05,97942.18531608814
1982-12-12,98175.71199975791
1982-12-19,98417.06439235408
1982-12-26,98666.2424938767
1983-01-02,98923.0
1983-01-09,99188.07582370134
1983-01-16,99460.73105200332
1983-01-23,99741.21198923173
1983-01-30,100029.51863538664
1983-02-06,100325.65099046796
1983-02-13,100629.60905447579
1983-02-20,100941.39282740999
1983-02-27,101261.00230927067
1983-03-06,101588.43750005783
1983-03-13,101923.69839977141
1983-03-20,102266.78500841145
1983-03-27,102617.69732597793
1983-04-03,102976.43535247086
1983-04-10,103342.99908789028
1983-04-17,103717.3885322361
1983-04-24,104099.60368550841
1983-05-01,104489.64454770714
1983-05-08,104887.5111188323
1983-05-15,105293.20339888398
1983-05-22,105706.72138786205
1983-05-29,106128.0650857666
1983-06-05,106557.23449259759
1983-06-12,106994.22960835503
1983-06-19,107439.05043303894
1983-06-26,107891.69696664927
1983-07-03,108352.16920918608
1983-07-10,108811.34485330505
1983-07-17,109260.10159166194
1983-07-24,109698.43942425672
1983-07-31,110126.35835108945
1983-08-07,110543.85837216006
1983-08-14,110950.9394874686
1983-08-21,111347.60169701505
1983-08-28,111733.8450007994
1983-09-04,112109.66939882167
1983-09-11,112475.07489108187
1983-09-18,112830.06147757996
1983-09-25,113174.62915831596
1983-10-02,113508.7779332899
1983-10-09,113832.50780250173
1983-10-16,114145.81876595144
1983-10-23,114448.71082363909
1983-10-30,114741.18397556468
1983-11-06,115023.23822172814
1983-11-13,115294.87356212955
1983-11-20,115556.08999676886
1983-11-27,115806.88752564607
1983-12-04,116047.26614876119
1983-12-11,116277.22586611423
1983-12-18,116496.76667770516
1983-12-25,116705.88858353405
1984-01-01,116905.0
1984-01-08,117092.87567790551
1984-01-15,117270.74086644809
1984-01-22,117438.1871492286
1984-01-29,117595.21452624703
1984-02-05,117741.82299750335
1984-02-12,117878.01256299761
1984-02-19,118003.78322272975
1984-02-26,118119.13497669983
1984-03-04,118224.06782490779
1984-03-11,118318.58176735372
1984-03-18,118402.67680403752
1984-03-25,118476.35293495923
1984-04-01,118539.61016011886
1984-04-08,118592.4484795164
1984-04-15,118634.86789315185
1984-04-22,118666.86840102522
1984-04-29,118688.45000313649
1984-05-06,118699.61269948567
1984-05-13,118700.3564900728
1984-05-20,118690.68137489777
1984-05-27,118670.58735396073
1984-06-03,118640.07442726157
1984-06-10,118599.1425948003
1984-06-17,118547.79185657698
1984-06-24,118486.02221259153
1984-07-01,118413.83366284403
1984-07-08,118333.16890187473
1984-07-15,118255.68409692538
1984-07-22,118183.3219425363
1984-07-29,118116.08243870747
1984-08-05,118053.96558543891
1984-08-12,117996.97138273061
1984-08-19,117945.09983058258
1984-08-26,117898.3509289948
1984-09-02,117856.72467796729
1984-09-09,117820.22107750004
1984-09-16,117788.84012759307
1984-09-23,117762.58182824632
1984-09-30,117741.44617945985
1984-10-07,117725.43318123365
1984-10-14,117714.54283356768
1984-10-21,117708.77513646202
1984-10-28,117708.1300899166
1984-11-04,117712.60769393141
1984-11-11,117722.20794850653
1984-11-18,117736.93085364185
1984-11-25,117756.7764093375
1984-12-02,117781.74461559337
1984-12-09,117811.83547240951
1984-12-16,117847.04897978592
1984-12-23,117887.3851377226
1984-12-30,117932.84394621952
1985-01-06,117983.0
1985-01-13,118039.12951489414
1985-01-20,118099.95627507186
1985-01-27,118165.90568580982
1985-02-03,118236.97774710806
1985-02-10,118313.17245896657
1985-02-17,118394.48982138532
1985-02-24,118480.9298343643
1985-03-03,118572.49249790359
1985-03-10,118669.17781200314
1985-03-17,118770.98577666294
1985-03-24,118877.91639188299
1985-03-31,118989.96965766331
1985-04-07,119107.1455740039
1985-04-14,119229.44414090476
1985-04-21,119356.86535836585
1985-04-28,119489.4092263872
1985-05-05,119627.07574496884
1985-05-12,119769.86491411072
1985-05-19,119917.77673381288
1985-05-26,120070.81120407527
1985-06-02,120228.96832489796
1985-06-09,120392.24809628088
1985-06-16,120560.65051822408
1985-06-23,120734.17559072754
1985-06-30,120912.82331379126
1985-07-07,121096.59368741521
1985-07-14,121280.94831086311
1985-07-21,121461.34878339847
1985-07-28,121637.79510502133
1985-08-04,121810.28727573172
1985-08-11,121978.8252955296
1985-08-18,122143.409164415
1985-08-25,122304.03888238792
1985-09-01,122460.71444944832
1985-09-08,122613.43586559626
1985-09-15,122762.2031308317
1985-09-22,122907.0162451546
1985-09-29,123047.87520856506
1985-10-06,123184.78002106301
1985-10-13,123317.73068264846
1985-10-20,123446.72719332142
1985-10-27,123571.7695530819
1985-11-03,123692.85776192989
1985-11-10,123809.99181986536
1985-11-17,123923.17172688837
1985-11-24,124032.39748299887
1985-12-01,124137.66908819687
1985-12-08,124238.98654248241
1985-12-15,124336.34984585542
1985-12-22,124429.75899831596
1985-12-29,124519.213999864
1986-01-05,124605.0
1986-01-12,124686.26155022258
1986-01-19,124763.85409903317
1986-01-26,124837.49249693126
1986-02-02,124907.17674391682
1986-02-09,124972.90683998988
1986-02-16,125034.68278515051
1986-02-23,125092.50457939855
1986-03-02,125146.37222273418
1986-03-09,125196.28571515731
1986-03-16,125242.24505666792
1986-03-23,125284.25024726607
1986-03-30,125322.30128695167
1986-04-06,125356.39817572484
1986-04-13,125386.5409135855
1986-04-20,125412.72950053363
1986-04-27,125434.96393656931
1986-05-04,125453.24422169248
1986-05-11,125467.57035590317
1986-05-18,125477.94233920134
1986-05-25,125484.36017158706
1986-06-01,125486.82385306025
1986-06-08,125485.333383621
1986-06-15,125479.8887632692
1986-06-22,125470.48999200494
1986-06-29,125457.13706982815
1986-07-06,125439.82999673889
1986-07-13,125428.23559082655
1986-07-20,125432.02067018051
1986-07-27,125451.18523480077
1986-08-03,125485.72928468732
1986-08-10,125535.65281984018
1986-08-17,125600.95584025934
1986-08-24,125681.63834594486
1986-08-31,125777.70033689665
1986-09-07,125889.14181311474
1986-09-14,126015.96277459916
1986-09-21,126158.16322134985
1986-09-28,126315.74315336687
1986-10-05,126488.70257065017
1986-10-12,126677.04147319982
1986-10-19,126880.75986101576
1986-10-26,127099.85773409798
1986-11-02,127334.33509244653
1986-11-09,127584.19193606138
1986-11-16,127849.42826494253
1986-11-23,128130.04407909002
1986-11-30,128426.0393785038
1986-12-07,128737.41416318386
1986-12-14,129064.16843313024
1986-12-21,129406.30218834293
1986-12-28,129763.81542882192
1987-01-04,130137.0
1987-01-11,130524.98036557884
1987-01-18,130928.63206185674
1987-01-25,131347.66324340098
1987-02-01,131782.0739102115
1987-02-08,132231.86406228834
1987-02-15,132697.03369963146
1987-02-22,133177.5828222409
1987-03-01,133673.51143011666
1987-03-08,134184.81952325872
1987-03-15,134711.50710166708
1987-03-22,135253.57416534176
1987-03-29,135811.02071428273
1987-04-05,136383.84674849
1987-04-12,136972.0522679636
1987-04-19,137575.63727270346
1987-04-26,138194.6017627097
1987-05-03,138828.9457379822
1987-05-10,139478.669198521
1987-05-17,140143.7721443261
1987-05-24,140824.25457539753
1987-05-31,141520.11649173527
1987-06-07,142231.3578933393
1987-06-14,142957.97878020967
1987-06-21,143699.97915234632
1987-06-28,144457.35900974926
1987-07-05,145230.11835241853
1987-07-12,146022.23245976368
1987-07-19,146837.67661119442
1987-07-26,147676.45080671067
1987-08-02,148538.55504631242
1987-08-09,149423.98932999972
1987-08-16,150332.75365777253
1987-08-23,151264.84802963087
1987-08-30,152220.27244557478
1987-09-06,153199.0269056042
1987-09-13,154201.11140971916
1987-09-20,155226.52595791957
1987-09-27,156275.2705502056
1987-10-04,157347.34518657712
1987-10-11,158442.74986703417
1987-10-18,159561.4845915768
1987-10-25,160703.54936020487
1987-11-01,161868.94417291856
1987-11-08,163057.6690297177
1987-11-15,164269.7239306024
1987-11-22,165505.10887557268
1987-11-29,166763.82386462842
1987-12-06,168045.86889776975
1987-12-13,169351.24397499656
1987-12-20,170679.9490963089
1987-12-27,172031.98426170676
1988-01-03,173406.0
1988-01-10,174806.04472475912
1988-01-17,176228.07002241362
1988-01-24,177673.4253641536
1988-01-31,179142.11074997915
1988-02-07,180634.1261798902
1988-02-14,182149.47165388678
1988-02-21,183688.14717196889
1988-02-28,185250.15273413653
1988-03-06,186835.4883403897
1988-03-13,188444.1539907284
1988-03-20,190076.14968515263
1988-03-27,191731.4754236624
1988-04-03,193410.13120625773
1988-04-10,195112.11703293852
1988-04-17,196837.43290370487
1988-04-24,198586.07881855677
1988-05-01,200358.05477749417
1988-05-08,202153.3607805171
1988-05-15,203971.99682762555
1988-05-22,205813.96291881957
1988-05-29,207679.2590540991
1988-06-05,209567.88523346416
1988-06-12,211479.84145691473
1988-06-19,213415.12772445084
1988-06-26,215373.74403607252
1988-07-03,217355.69039177964
1988-07-10,219319.13959037702
1988-07-17,221222.26443066896
1988-07-24,223065.0649126557
1988-07-31,224847.5410363372
1988-08-07,226569.6928017134
1988-08-14,228231.52020878426
1988-08-21,229833.02325754994
1988-08-28,231374.20194801028
1988-09-04,232855.05628016536
1988-09-11,234275.58625401516
1988-09-18,235635.79186955967
1988-09-25,236935.6731267989
1988-10-02,238175.23002573286
1988-10-09,239354.4625663616
1988-10-16,240473.37074868497
1988-10-23,241531.95457270314
1988-10-30,242530.21403841596
1988-11-06,243468.1491458235
1988-11-13,244345.7598949258
1988-11-20,245163.04628572287
1988-11-27,245920.00831821462
1988-12-04,246616.64599240109
1988-12-11,247252.95930828218
1988-12-18,247828.94826585814
1988-12-25,248344.6128651288
1989-01-01,248802.0
1989-01-08,249194.96898875423
1989-01-15,249529.660513109
1989-01-22,249804.02767915855
1989-01-29,250018.07048690278
1989-02-05,250171.7889363417
1989-02-12,250265.18302747543
1989-02-19,250298.2527603038
1989-02-26,250270.998134827
1989-03-05,250183.41915104474
1989-03-12,250035.51580895737
1989-03-19,249827.28810856474
1989-03-26,249558.73604986668
1989-04-02,249229.85963286346
1989-04-09,248840.65885755492
1989-04-16,248391.1337239411
1989-04-23,247881.284232022
1989-04-30,247311.1103817976
1989-05-07,246680.612173268
1989-05-14,245989.78960643307
1989-05-21,245238.64268129287
1989-05-28,244427.17139784736
1989-06-04,243555.37575609662
1989-06-11,242623.2557560406
1989-06-18,241630.81139767927
1989-06-25,240578.04268101265
1989-07-02,239464.94960604084
1989-07-09,238302.00779971166
1989-07-16,237152.07102371342
1989-07-23,236025.61490499403
1989-07-30,234922.63944355355
1989-08-06,233843.14463939198
1989-08-13,232787.13049250926
1989-08-20,231754.59700290544
1989-08-27,230745.54417058048
1989-09-03,229759.97199553446
1989-09-10,228797.8804777673
1989-09-17,227859.26961727903
1989-09-24,226944.13941406962
1989-10-01,226052.48986813915
1989-10-08,225184.3209794875
1989-10-15,224339.63274811476
1989-10-22,223518.42517402096
1989-10-29,222720.69825720598
1989-11-05,221946.4519976699
1989-11-12,221195.68639541278
1989-11-19,220468.40145043444
1989-11-26,219764.59716273507
1989-12-03,219084.27353231458
1989-12-10,218427.43055917294
1989-12-17,217794.0682433102
1989-12-24,217184.18658472633
1989-12-31,216597.7855834214
1990-01-07,216033.0
1990-01-14,215495.4255526481
1990-01-21,214979.46652317984
1990-01-28,214486.98815099036
1990-02-04,214017.9904360799
1990-02-11,213572.47337844822
1990-02-18,213150.4369780955
1990-02-25,212751.88123502163
1990-03-04,212376.8061492266
1990-03-11,212025.21172071053
1990-03-18,211697.0979494734
1990-03-25,211392.464835515
1990-04-01,211111.31237883563
1990-04-08,210853.64057943504
1990-04-15,210619.44943731345
