,COUNTDATE,YEAR,COUNTLOCATION,FISHCOUNT
0,1955-06-23 00:00:00,1955,Kvichak River,120.0
1,1955-06-24 00:00:00,1955,Kvichak River,256.0
2,1955-06-25 00:00:00,1955,Kvichak River,509.0
3,1955-06-26 00:00:00,1955,Kvichak River,166.0
4,1955-06-27 00:00:00,1955,Kvichak River,211.0
5,1955-06-28 00:00:00,1955,Kvichak River,38.0
6,1955-06-29 00:00:00,1955,Kvichak River,90.0
7,1955-06-30 00:00:00,1955,Kvichak River,112.0
8,1955-07-01 00:00:00,1955,Kvichak River,186.0
9,1955-07-02 00:00:00,1955,Kvichak River,148.0
10,1955-07-03 00:00:00,1955,Kvichak River,102.0
11,1955-07-04 00:00:00,1955,Kvichak River,151.0
12,1955-07-05 00:00:00,1955,Kvichak River,3426.0
13,1955-07-06 00:00:00,1955,Kvichak River,24364.0
14,1955-07-07 00:00:00,1955,Kvichak River,9125.0
15,1955-07-08 00:00:00,1955,Kvichak River,657.0
16,1955-07-09 00:00:00,1955,Kvichak River,893.0
17,1955-07-10 00:00:00,1955,Kvichak River,918.0
18,1955-07-11 00:00:00,1955,Kvichak River,12766.0
19,1955-07-12 00:00:00,1955,Kvichak River,11351.0
20,1955-07-13 00:00:00,1955,Kvichak River,6937.0
21,1955-07-14 00:00:00,1955,Kvichak River,5458.0
22,1955-07-15 00:00:00,1955,Kvichak River,21578.0
23,1955-07-16 00:00:00,1955,Kvichak River,73304.0
24,1955-07-17 00:00:00,1955,Kvichak River,31822.0
25,1955-07-18 00:00:00,1955,Kvichak River,13398.0
26,1955-07-19 00:00:00,1955,Kvichak River,5726.0
27,1955-07-20 00:00:00,1955,Kvichak River,4146.0
28,1955-07-21 00:00:00,1955,Kvichak River,4781.0
29,1955-07-22 00:00:00,1955,Kvichak River,4537.0
30,1955-07-23 00:00:00,1955,Kvichak River,3972.0
31,1955-07-24 00:00:00,1955,Kvichak River,2245.0
32,1955-07-25 00:00:00,1955,Kvichak River,2187.0
33,1955-07-26 00:00:00,1955,Kvichak River,1073.0
34,1955-07-27 00:00:00,1955,Kvichak River,962.0
35,1955-07-28 00:00:00,1955,Kvichak River,785.0
36,1955-07-29 00:00:00,1955,Kvichak River,797.0
37,1955-07-30 00:00:00,1955,Kvichak River,545.0
38,1955-07-31 00:00:00,1955,Kvichak River,409.0
39,1955-08-01 00:00:00,1955,Kvichak River,213.0
40,1955-08-02 00:00:00,1955,Kvichak River,82.0
41,1956-06-23 00:00:00,1956,Kvichak River,8.0
42,1956-06-24 00:00:00,1956,Kvichak River,38.0
43,1956-06-25 00:00:00,1956,Kvichak River,32.0
44,1956-06-26 00:00:00,1956,Kvichak River,30.0
45,1956-06-27 00:00:00,1956,Kvichak River,88.0
46,1956-06-28 00:00:00,1956,Kvichak River,263.0
47,1956-06-29 00:00:00,1956,Kvichak River,229.0
48,1956-06-30 00:00:00,1956,Kvichak River,343.0
49,1956-07-01 00:00:00,1956,Kvichak River,311.0
50,1956-07-02 00:00:00,1956,Kvichak River,311.0
51,1956-07-03 00:00:00,1956,Kvichak River,373.0
52,1956-07-04 00:00:00,1956,Kvichak River,11280.0
53,1956-07-05 00:00:00,1956,Kvichak River,10256.0
54,1956-07-06 00:00:00,1956,Kvichak River,63065.0
55,1956-07-07 00:00:00,1956,Kvichak River,75851.0
56,1956-07-08 00:00:00,1956,Kvichak River,134163.0
57,1956-07-09 00:00:00,1956,Kvichak River,221055.0
58,1956-07-10 00:00:00,1956,Kvichak River,268179.0
59,1956-07-11 00:00:00,1956,Kvichak River,268048.0
60,1956-07-12 00:00:00,1956,Kvichak River,375393.0
61,1956-07-13 00:00:00,1956,Kvichak River,498944.0
62,1956-07-14 00:00:00,1956,Kvichak River,583882.0
63,1956-07-15 00:00:00,1956,Kvichak River,694874.0
64,1956-07-16 00:00:00,1956,Kvichak River,923007.0
65,1956-07-17 00:00:00,1956,Kvichak River,1053583.0
66,1956-07-18 00:00:00,1956,Kvichak River,910574.0
67,1956-07-19 00:00:00,1956,Kvichak River,711050.0
68,1956-07-20 00:00:00,1956,Kvichak River,650430.0
69,1956-07-21 00:00:00,1956,Kvichak River,606643.0
70,1956-07-22 00:00:00,1956,Kvichak River,440420.0
71,1956-07-23 00:00:00,1956,Kvichak River,288795.0
72,1956-07-24 00:00:00,1956,Kvichak River,212571.0
73,1956-07-25 00:00:00,1956,Kvichak River,154609.0
74,1956-07-26 00:00:00,1956,Kvichak River,98495.0
75,1956-07-27 00:00:00,1956,Kvichak River,66923.0
76,1956-07-28 00:00:00,1956,Kvichak River,37516.0
77,1956-07-29 00:00:00,1956,Kvichak River,25100.0
78,1956-07-30 00:00:00,1956,Kvichak River,20353.0
79,1956-07-31 00:00:00,1956,Kvichak River,15999.0
80,1956-08-01 00:00:00,1956,Kvichak River,14558.0
81,1956-08-02 00:00:00,1956,Kvichak River,5676.0
82,1956-06-21 00:00:00,1956,Wood River,126.0
83,1956-06-22 00:00:00,1956,Wood River,10.0
84,1956-06-23 00:00:00,1956,Wood River,2218.0
85,1956-06-24 00:00:00,1956,Wood River,2838.0
86,1956-06-25 00:00:00,1956,Wood River,1523.0
87,1956-06-26 00:00:00,1956,Wood River,872.0
88,1956-06-27 00:00:00,1956,Wood River,943.0
89,1956-06-28 00:00:00,1956,Wood River,5964.0
90,1956-06-29 00:00:00,1956,Wood River,5816.0
91,1956-06-30 00:00:00,1956,Wood River,4602.0
92,1956-07-01 00:00:00,1956,Wood River,730.0
93,1956-07-02 00:00:00,1956,Wood River,2020.0
94,1956-07-03 00:00:00,1956,Wood River,1243.0
95,1956-07-04 00:00:00,1956,Wood River,16845.0
96,1956-07-05 00:00:00,1956,Wood River,43257.0
97,1956-07-06 00:00:00,1956,Wood River,47776.0
98,1956-07-07 00:00:00,1956,Wood River,26870.0
99,1956-07-08 00:00:00,1956,Wood River,16689.0
100,1956-07-09 00:00:00,1956,Wood River,8124.0
101,1956-07-10 00:00:00,1956,Wood River,4825.0
102,1956-07-11 00:00:00,1956,Wood River,87299.0
103,1956-07-12 00:00:00,1956,Wood River,80213.0
104,1956-07-13 00:00:00,1956,Wood River,71748.0
105,1956-07-14 00:00:00,1956,Wood River,47216.0
106,1956-07-15 00:00:00,1956,Wood River,79427.0
107,1956-07-16 00:00:00,1956,Wood River,68389.0
108,1956-07-17 00:00:00,1956,Wood River,47168.0
109,1956-07-18 00:00:00,1956,Wood River,18168.0
110,1956-07-19 00:00:00,1956,Wood River,21670.0
111,1956-07-20 00:00:00,1956,Wood River,18057.0
112,1956-07-21 00:00:00,1956,Wood River,13921.0
113,1956-07-22 00:00:00,1956,Wood River,6690.0
114,1956-07-23 00:00:00,1956,Wood River,3852.0
115,1956-07-24 00:00:00,1956,Wood River,2416.0
116,1956-07-25 00:00:00,1956,Wood River,4662.0
117,1956-07-26 00:00:00,1956,Wood River,3554.0
118,1956-07-27 00:00:00,1956,Wood River,1792.0
119,1956-07-28 00:00:00,1956,Wood River,486.0
120,1956-07-29 00:00:00,1956,Wood River,1520.0
121,1956-07-30 00:00:00,1956,Wood River,892.0
122,1956-07-31 00:00:00,1956,Wood River,180.0
123,1956-08-01 00:00:00,1956,Wood River,490.0
124,1957-07-01 00:00:00,1957,Egegik River,9960.0
125,1957-07-02 00:00:00,1957,Egegik River,20136.0
126,1957-07-03 00:00:00,1957,Egegik River,3042.0
127,1957-07-04 00:00:00,1957,Egegik River,7524.0
128,1957-07-05 00:00:00,1957,Egegik River,8848.0
129,1957-07-06 00:00:00,1957,Egegik River,5632.0
130,1957-07-07 00:00:00,1957,Egegik River,7552.0
131,1957-07-08 00:00:00,1957,Egegik River,13656.0
132,1957-07-09 00:00:00,1957,Egegik River,20826.0
133,1957-07-10 00:00:00,1957,Egegik River,44664.0
134,1957-07-11 00:00:00,1957,Egegik River,85639.0
135,1957-07-12 00:00:00,1957,Egegik River,64132.0
136,1957-07-13 00:00:00,1957,Egegik River,35985.0
137,1957-07-14 00:00:00,1957,Egegik River,8722.0
138,1957-07-15 00:00:00,1957,Egegik River,17179.0
139,1957-07-16 00:00:00,1957,Egegik River,21302.0
140,1957-07-17 00:00:00,1957,Egegik River,361.0
141,1957-07-18 00:00:00,1957,Egegik River,3783.0
142,1957-07-19 00:00:00,1957,Egegik River,4596.0
143,1957-07-20 00:00:00,1957,Egegik River,3063.0
144,1957-07-21 00:00:00,1957,Egegik River,120.0
145,1957-07-22 00:00:00,1957,Egegik River,1169.0
146,1957-07-23 00:00:00,1957,Egegik River,681.0
147,1957-07-24 00:00:00,1957,Egegik River,1205.0
148,1957-07-25 00:00:00,1957,Egegik River,801.0
149,1957-07-26 00:00:00,1957,Egegik River,154.0
150,1957-07-27 00:00:00,1957,Egegik River,295.0
151,1957-07-28 00:00:00,1957,Egegik River,42.0
152,1957-07-29 00:00:00,1957,Egegik River,42.0
153,1957-07-30 00:00:00,1957,Egegik River,96.0
154,1957-07-03 00:00:00,1957,Eshamy Creek,8.0
155,1957-07-03 00:00:00,1957,Eshamy Creek,8.0
156,1957-07-04 00:00:00,1957,Eshamy Creek,35.0
157,1957-07-04 00:00:00,1957,Eshamy Creek,35.0
158,1957-07-05 00:00:00,1957,Eshamy Creek,12.0
159,1957-07-05 00:00:00,1957,Eshamy Creek,12.0
160,1957-07-06 00:00:00,1957,Eshamy Creek,6.0
161,1957-07-06 00:00:00,1957,Eshamy Creek,6.0
162,1957-07-07 00:00:00,1957,Eshamy Creek,123.0
163,1957-07-07 00:00:00,1957,Eshamy Creek,123.0
164,1957-07-08 00:00:00,1957,Eshamy Creek,204.0
165,1957-07-08 00:00:00,1957,Eshamy Creek,204.0
166,1957-07-09 00:00:00,1957,Eshamy Creek,22.0
167,1957-07-09 00:00:00,1957,Eshamy Creek,22.0
168,1957-07-10 00:00:00,1957,Eshamy Creek,36.0
169,1957-07-10 00:00:00,1957,Eshamy Creek,36.0
170,1957-07-11 00:00:00,1957,Eshamy Creek,18.0
171,1957-07-11 00:00:00,1957,Eshamy Creek,18.0
172,1957-07-12 00:00:00,1957,Eshamy Creek,9.0
173,1957-07-12 00:00:00,1957,Eshamy Creek,9.0
174,1957-07-13 00:00:00,1957,Eshamy Creek,1.0
175,1957-07-13 00:00:00,1957,Eshamy Creek,1.0
176,1957-07-14 00:00:00,1957,Eshamy Creek,1.0
177,1957-07-14 00:00:00,1957,Eshamy Creek,1.0
178,1957-07-15 00:00:00,1957,Eshamy Creek,0.0
179,1957-07-16 00:00:00,1957,Eshamy Creek,2.0
180,1957-07-16 00:00:00,1957,Eshamy Creek,2.0
181,1957-07-17 00:00:00,1957,Eshamy Creek,0.0
182,1957-07-18 00:00:00,1957,Eshamy Creek,0.0
183,1957-07-19 00:00:00,1957,Eshamy Creek,2.0
184,1957-07-19 00:00:00,1957,Eshamy Creek,2.0
185,1957-07-20 00:00:00,1957,Eshamy Creek,26.0
186,1957-07-20 00:00:00,1957,Eshamy Creek,26.0
187,1957-07-21 00:00:00,1957,Eshamy Creek,11.0
188,1957-07-21 00:00:00,1957,Eshamy Creek,11.0
189,1957-07-22 00:00:00,1957,Eshamy Creek,0.0
190,1957-07-23 00:00:00,1957,Eshamy Creek,101.0
191,1957-07-23 00:00:00,1957,Eshamy Creek,101.0
192,1957-07-24 00:00:00,1957,Eshamy Creek,48.0
193,1957-07-24 00:00:00,1957,Eshamy Creek,48.0
194,1957-07-25 00:00:00,1957,Eshamy Creek,14.0
195,1957-07-25 00:00:00,1957,Eshamy Creek,14.0
196,1957-07-26 00:00:00,1957,Eshamy Creek,2.0
197,1957-07-26 00:00:00,1957,Eshamy Creek,2.0
198,1957-07-27 00:00:00,1957,Eshamy Creek,4.0
199,1957-07-27 00:00:00,1957,Eshamy Creek,4.0
200,1957-07-28 00:00:00,1957,Eshamy Creek,2.0
201,1957-07-28 00:00:00,1957,Eshamy Creek,2.0
202,1957-07-29 00:00:00,1957,Eshamy Creek,0.0
203,1957-07-30 00:00:00,1957,Eshamy Creek,0.0
204,1957-07-31 00:00:00,1957,Eshamy Creek,0.0
205,1957-08-01 00:00:00,1957,Eshamy Creek,146.0
206,1957-08-01 00:00:00,1957,Eshamy Creek,146.0
207,1957-08-02 00:00:00,1957,Eshamy Creek,2.0
208,1957-08-02 00:00:00,1957,Eshamy Creek,2.0
209,1957-08-03 00:00:00,1957,Eshamy Creek,2.0
210,1957-08-03 00:00:00,1957,Eshamy Creek,2.0
211,1957-08-04 00:00:00,1957,Eshamy Creek,14.0
212,1957-08-04 00:00:00,1957,Eshamy Creek,14.0
213,1957-08-05 00:00:00,1957,Eshamy Creek,2.0
214,1957-08-05 00:00:00,1957,Eshamy Creek,2.0
215,1957-08-06 00:00:00,1957,Eshamy Creek,3.0
216,1957-08-06 00:00:00,1957,Eshamy Creek,3.0
217,1957-08-07 00:00:00,1957,Eshamy Creek,10.0
218,1957-08-07 00:00:00,1957,Eshamy Creek,10.0
219,1957-08-08 00:00:00,1957,Eshamy Creek,11.0
220,1957-08-08 00:00:00,1957,Eshamy Creek,11.0
221,1957-08-09 00:00:00,1957,Eshamy Creek,24.0
222,1957-08-09 00:00:00,1957,Eshamy Creek,24.0
223,1957-08-10 00:00:00,1957,Eshamy Creek,16.0
224,1957-08-10 00:00:00,1957,Eshamy Creek,16.0
225,1957-08-11 00:00:00,1957,Eshamy Creek,46.0
226,1957-08-11 00:00:00,1957,Eshamy Creek,46.0
227,1957-08-12 00:00:00,1957,Eshamy Creek,24.0
228,1957-08-12 00:00:00,1957,Eshamy Creek,24.0
229,1957-08-13 00:00:00,1957,Eshamy Creek,192.0
230,1957-08-13 00:00:00,1957,Eshamy Creek,192.0
231,1957-08-14 00:00:00,1957,Eshamy Creek,195.0
232,1957-08-14 00:00:00,1957,Eshamy Creek,195.0
233,1957-08-15 00:00:00,1957,Eshamy Creek,210.0
234,1957-08-15 00:00:00,1957,Eshamy Creek,210.0
235,1957-08-16 00:00:00,1957,Eshamy Creek,254.0
236,1957-08-16 00:00:00,1957,Eshamy Creek,254.0
237,1957-08-17 00:00:00,1957,Eshamy Creek,221.0
238,1957-08-17 00:00:00,1957,Eshamy Creek,221.0
239,1957-08-18 00:00:00,1957,Eshamy Creek,151.0
240,1957-08-18 00:00:00,1957,Eshamy Creek,151.0
241,1957-08-19 00:00:00,1957,Eshamy Creek,105.0
242,1957-08-19 00:00:00,1957,Eshamy Creek,105.0
243,1957-08-20 00:00:00,1957,Eshamy Creek,338.0
244,1957-08-20 00:00:00,1957,Eshamy Creek,338.0
245,1957-08-21 00:00:00,1957,Eshamy Creek,10009.0
246,1957-08-21 00:00:00,1957,Eshamy Creek,10009.0
247,1957-08-22 00:00:00,1957,Eshamy Creek,6577.0
248,1957-08-22 00:00:00,1957,Eshamy Creek,6577.0
249,1957-08-23 00:00:00,1957,Eshamy Creek,4872.0
250,1957-08-23 00:00:00,1957,Eshamy Creek,4872.0
251,1957-08-24 00:00:00,1957,Eshamy Creek,3509.0
252,1957-08-24 00:00:00,1957,Eshamy Creek,3509.0
253,1957-08-25 00:00:00,1957,Eshamy Creek,1508.0
254,1957-08-25 00:00:00,1957,Eshamy Creek,1508.0
255,1957-08-26 00:00:00,1957,Eshamy Creek,484.0
256,1957-08-26 00:00:00,1957,Eshamy Creek,484.0
257,1957-08-27 00:00:00,1957,Eshamy Creek,7517.0
258,1957-08-27 00:00:00,1957,Eshamy Creek,7517.0
259,1957-08-28 00:00:00,1957,Eshamy Creek,3245.0
260,1957-08-28 00:00:00,1957,Eshamy Creek,3245.0
261,1957-08-29 00:00:00,1957,Eshamy Creek,1601.0
262,1957-08-29 00:00:00,1957,Eshamy Creek,1601.0
263,1957-08-30 00:00:00,1957,Eshamy Creek,1990.0
264,1957-08-30 00:00:00,1957,Eshamy Creek,1990.0
265,1957-08-31 00:00:00,1957,Eshamy Creek,1200.0
266,1957-08-31 00:00:00,1957,Eshamy Creek,1200.0
267,1957-09-01 00:00:00,1957,Eshamy Creek,341.0
268,1957-09-01 00:00:00,1957,Eshamy Creek,341.0
269,1957-09-02 00:00:00,1957,Eshamy Creek,496.0
270,1957-09-02 00:00:00,1957,Eshamy Creek,496.0
271,1957-09-03 00:00:00,1957,Eshamy Creek,3526.0
272,1957-09-03 00:00:00,1957,Eshamy Creek,3526.0
273,1957-09-04 00:00:00,1957,Eshamy Creek,520.0
274,1957-09-04 00:00:00,1957,Eshamy Creek,520.0
275,1957-09-05 00:00:00,1957,Eshamy Creek,150.0
276,1957-09-05 00:00:00,1957,Eshamy Creek,150.0
277,1957-09-06 00:00:00,1957,Eshamy Creek,254.0
278,1957-09-06 00:00:00,1957,Eshamy Creek,254.0
279,1957-09-07 00:00:00,1957,Eshamy Creek,201.0
280,1957-09-07 00:00:00,1957,Eshamy Creek,201.0
281,1957-09-08 00:00:00,1957,Eshamy Creek,156.0
282,1957-09-08 00:00:00,1957,Eshamy Creek,156.0
283,1957-09-09 00:00:00,1957,Eshamy Creek,159.0
284,1957-09-09 00:00:00,1957,Eshamy Creek,159.0
285,1957-09-10 00:00:00,1957,Eshamy Creek,109.0
286,1957-09-10 00:00:00,1957,Eshamy Creek,109.0
287,1957-09-11 00:00:00,1957,Eshamy Creek,106.0
288,1957-09-11 00:00:00,1957,Eshamy Creek,106.0
289,1957-09-12 00:00:00,1957,Eshamy Creek,69.0
290,1957-09-12 00:00:00,1957,Eshamy Creek,69.0
291,1957-09-13 00:00:00,1957,Eshamy Creek,26.0
292,1957-09-13 00:00:00,1957,Eshamy Creek,26.0
293,1957-09-14 00:00:00,1957,Eshamy Creek,25.0
294,1957-09-14 00:00:00,1957,Eshamy Creek,25.0
295,1957-06-26 00:00:00,1957,Kvichak River,7337.0
296,1957-06-27 00:00:00,1957,Kvichak River,4987.0
297,1957-06-28 00:00:00,1957,Kvichak River,2922.0
298,1957-06-29 00:00:00,1957,Kvichak River,9305.0
299,1957-06-30 00:00:00,1957,Kvichak River,46825.0
300,1957-07-01 00:00:00,1957,Kvichak River,51797.0
301,1957-07-02 00:00:00,1957,Kvichak River,62332.0
302,1957-07-03 00:00:00,1957,Kvichak River,82789.0
303,1957-07-04 00:00:00,1957,Kvichak River,60394.0
304,1957-07-05 00:00:00,1957,Kvichak River,70371.0
305,1957-07-06 00:00:00,1957,Kvichak River,48245.0
306,1957-07-07 00:00:00,1957,Kvichak River,45703.0
307,1957-07-08 00:00:00,1957,Kvichak River,83275.0
308,1957-07-09 00:00:00,1957,Kvichak River,56435.0
309,1957-07-10 00:00:00,1957,Kvichak River,147794.0
310,1957-07-11 00:00:00,1957,Kvichak River,283029.0
311,1957-07-12 00:00:00,1957,Kvichak River,461443.0
312,1957-07-13 00:00:00,1957,Kvichak River,461961.0
313,1957-07-14 00:00:00,1957,Kvichak River,371154.0
314,1957-07-15 00:00:00,1957,Kvichak River,147430.0
315,1957-07-16 00:00:00,1957,Kvichak River,88426.0
316,1957-07-17 00:00:00,1957,Kvichak River,56012.0
317,1957-07-18 00:00:00,1957,Kvichak River,30330.0
318,1957-07-19 00:00:00,1957,Kvichak River,49258.0
319,1957-07-20 00:00:00,1957,Kvichak River,72705.0
320,1957-07-21 00:00:00,1957,Kvichak River,37966.0
321,1957-07-22 00:00:00,1957,Kvichak River,26820.0
322,1957-07-23 00:00:00,1957,Kvichak River,23152.0
323,1957-07-24 00:00:00,1957,Kvichak River,25612.0
324,1957-07-25 00:00:00,1957,Kvichak River,14537.0
325,1957-07-26 00:00:00,1957,Kvichak River,34409.0
326,1957-07-05 00:00:00,1957,Ugashik River,361.0
327,1957-07-07 00:00:00,1957,Ugashik River,296.0
328,1957-07-08 00:00:00,1957,Ugashik River,10.0
329,1957-07-09 00:00:00,1957,Ugashik River,126.0
330,1957-07-10 00:00:00,1957,Ugashik River,8514.0
331,1957-07-11 00:00:00,1957,Ugashik River,5754.0
332,1957-07-12 00:00:00,1957,Ugashik River,2994.0
333,1957-07-13 00:00:00,1957,Ugashik River,12528.0
334,1957-07-14 00:00:00,1957,Ugashik River,13056.0
335,1957-07-15 00:00:00,1957,Ugashik River,19434.0
336,1957-07-16 00:00:00,1957,Ugashik River,19771.0
337,1957-07-17 00:00:00,1957,Ugashik River,33420.0
338,1957-07-18 00:00:00,1957,Ugashik River,28908.0
339,1957-07-19 00:00:00,1957,Ugashik River,10530.0
340,1957-07-20 00:00:00,1957,Ugashik River,4208.0
341,1957-07-21 00:00:00,1957,Ugashik River,7215.0
